
SMAP - Show Database Schema Statistic

    dd    |    keylog     |   clipboard   |   removable   |   exchange   |      im      |   printjob   |     email     |    device     |   network    | application  |     file     |      all      
----------+---------------+---------------+---------------+--------------+--------------+--------------+---------------+---------------+--------------+--------------+--------------+---------------
 20200303 |               |               |               |   25/5189 kB |              |              |     44/29 kB  |               |              |              |              |   69/5218 kB
 20200304 |   252/128 kB  |     37/73 kB  |      4/75 MB  |     72/34 MB |     17/35 kB |      9/12 MB |               | 6/4984 bytes  |              |    95/193 kB |              |   492/121 MB
 20200305 | 2325/1116 kB  |  575/1311 kB  |     43/96 MB  |     69/75 MB |   300/634 kB |    59/174 MB |               | 6/4984 bytes  |              |              |              |  3377/348 MB
 20200306 | 5412/2653 kB  | 1089/2482 kB  |    93/262 MB  |   170/112 MB |   213/464 kB |    84/141 MB |               |               |              |              |     20/33 MB |  7081/554 MB
 20200307 |    118/66 kB  |    60/130 kB  |               |              |              |    8/8720 kB |               |               |              |              |              |  186/8916 kB
 20200513 |               |               |               |              |              |              |               |               |  2/642 bytes |              |              |  2/642 bytes
 20200514 | 257222/131 MB | 57294/167 MB  |  67598/59 GB  |   315/160 MB | 4377/1130 MB | 5442/8300 MB |      2/17 kB  |   328/281 kB  |              |              |              | 392578/69 GB
 20200518 | 101787/51 MB  |  31234/77 MB  |  13911/13 GB  |    122/58 MB |  2081/497 MB | 3291/5044 MB | 1/8533 bytes  |   122/103 kB  |              |              |              | 152549/19 GB
 20200519 |  29012/14 MB  |   7739/17 MB  | 9568/8728 MB  |     82/25 MB |   635/107 MB |  721/1434 MB |               |     30/25 kB  |              |              |              |  47787/10 GB
 20200520 | 19079/9902 kB |   5592/11 MB  |   546/277 MB  |     76/44 MB |   912/151 MB |  661/1164 MB |               |     26/22 kB  |              |              |              | 26892/1656 MB
 20200521 | 17562/9038 kB |   5021/21 MB  |  1054/704 MB  |     58/50 MB |    850/47 MB |   433/793 MB |               |     25/22 kB  |              |              |              | 25003/1624 MB
 20200522 | 17479/9022 kB |   4771/14 MB  |   574/521 MB  |     54/31 MB |    555/79 MB |   441/637 MB |               |     21/18 kB  |              |              |              | 23895/1290 MB
 20200523 |   197/177 kB  |     45/86 kB  |   17/2361 kB  | 1/8132 bytes |              |     11/13 MB |               |               |              |              |              |    271/16 MB
 20200524 |   493/370 kB  |   151/299 kB  |   14/1825 kB  |     3/418 kB |              |     18/27 MB |               |               |              |              |              |    679/29 MB
 20200525 | 18712/9444 kB |   4967/12 MB  |   375/231 MB  |     58/46 MB |  1081/115 MB |   552/934 MB |               |     33/28 kB  |              |              |              | 25778/1347 MB
 20200526 | 18301/9361 kB | 4359/9281 kB  |   366/334 MB  |     62/87 MB |   274/120 MB |   502/899 MB |               |     20/17 kB  |              |              |              | 23884/1458 MB
 20200527 | 17936/9265 kB |   4774/10 MB  |   487/478 MB  |     48/47 MB |    454/70 MB |   445/815 MB |               |     24/20 kB  |              |              |              | 24168/1430 MB
 20200528 |  30907/15 MB  |  11506/30 MB  |  1046/740 MB  |   126/100 MB |    530/93 MB |  695/1368 MB |               |     49/41 kB  |              |              |              | 44859/2347 MB
 20200529 | 17154/8810 kB | 4488/9470 kB  | 1720/1505 MB  |     76/66 MB |   252/176 MB |   449/734 MB |               |     21/18 kB  |              |              |              | 24160/2499 MB
 20200530 |   677/340 kB  |   345/614 kB  |   29/2943 kB  |              |              |    3/1675 kB |               | 2/1762 bytes  |              |              |              | 1056/5573 kB
 20200531 |   664/393 kB  |   276/531 kB  |     41/23 MB  |      1/45 kB |              |     15/17 MB |               |  1/910 bytes  |              |              |              |    998/41 MB
 20200601 |  19840/10 MB  |   5738/29 MB  |  985/1202 MB  |     71/39 MB |    393/96 MB |   528/945 MB |               |     30/26 kB  |              |              |              | 27585/2321 MB
 20200602 | 18519/9680 kB |   5877/14 MB  |  1380/387 MB  |     75/38 MB |   592/135 MB |   378/904 MB |               |     25/21 kB  |              |              |              | 26846/1486 MB
 20200603 | 16858/8853 kB |   5207/12 MB  |   750/941 MB  |     90/62 MB |   582/102 MB |   563/605 MB |               |     19/16 kB  |              |              |              | 24069/1731 MB
